date,mask,distancing,evi
20200709,0.458585736,0.465807007,0.452684498
20200710,0.450054869,0.459702212,0.45358135
20200711,0.446101043,0.399067683,0.440172512
20200712,0.506564157,0.43433082,0.4389272
20200713,0.529254925,0.464241205,0.454199115
20200714,0.454017791,0.438323042,0.451952937
20200715,0.452969376,0.472267356,0.449858059
20200716,0.436046022,0.443480522,0.448050138
20200717,0.460109557,0.48605461,0.451271571
20200718,0.471575106,0.465914485,0.441675207
20200719,0.442936223,0.417227823,0.434973951
20200720,0.490757393,0.442035986,0.451342558
20200721,0.472625971,0.437462286,0.451926856
20200722,0.492568592,0.452633541,0.452964043
20200723,0.508324353,0.448805365,0.453714497
20200724,0.500908989,0.45424844,0.457194976
20200725,0.437429342,0.424733671,0.440611769
20200726,0.475267527,0.451676579,0.435407304
20200727,0.529799945,0.411264602,0.450505573
20200728,0.512143465,0.466106971,0.452019891
20200729,0.478694488,0.441721187,0.453167405
20200730,0.491405961,0.434325461,0.448134574
20200731,0.459389649,0.454776347,0.45534684
20200801,0.493960406,0.424705329,0.442017104
20200802,0.490774766,0.430857409,0.434116532
20200803,0.439824494,0.451859394,0.434127544
20200804,0.501372649,0.430670625,0.450031366
20200805,0.513772016,0.428406828,0.451136446
20200806,0.496302307,0.445237711,0.451957538
20200807,0.479239526,0.431151506,0.452732137
20200808,0.480728348,0.433109015,0.439777381
20200809,0.525202642,0.442607858,0.439104966
20200810,0.51386487,0.446080566,0.452289437
20200811,0.469600582,0.433253236,0.450584537
20200812,0.46835787,0.460438866,0.453565855
20200813,0.443088681,0.440801133,0.447198985
20200814,0.464648721,0.462630653,0.449487513
20200815,0.489081967,0.419554006,0.444954498
20200816,0.420985256,0.460397332,0.445502114
20200817,0.453050067,0.457305611,0.456801054
20200818,0.46195696,0.453002244,0.457056203
20200819,0.500454482,0.486120796,0.461207237
20200820,0.488008821,0.478105429,0.463651797
20200821,0.522878018,0.467320313,0.460443845
20200822,0.417575765,0.450239701,0.445656524
20200823,0.478846723,0.449875228,0.436749964
